name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Fancy Donuts Kudamm,52.504303,13.332094,23919606,98,1,6697,A,5.0,"Kurfurstendamm 16, 10719 Berlin Germany",American,Coffee & Tea,$3,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$3,0,A
Clubrestaurant am Wannsee,52.428818,13.182421,7254454,220,2,6697,A,5.0,"Scabellstr. 10-11, 14109 Berlin Germany",German,Restaurants,$35 - $90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$35 , $90,A
Burger Turm,52.5272,13.33252,13848266,761,3,6697,A,5.0,"Turmstrasse 49, 10551 Berlin Germany",American,Restaurants,$8 - $25,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$8 , $25,A
Ataya Caffe,52.547062,13.427194,10518110,214,4,6697,A,5.0,"Zelterstr. 6, 10439 Berlin Germany",Italian,Restaurants,$2 - $15,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$2 , $15,A
100 Gramm Bar,52.530407,13.401753,16755582,105,5,6697,A,5.0,"Weinbergsweg 25, 10119 Berlin Germany",Bar,Restaurants,$3 - $17,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$3 , $17,A
Cafe Couscous - Vege,52.526882,13.387203,8789766,114,6,6697,A,5.0,"Friedrichstr. 115, 10117 Berlin Germany",Cafe,Restaurants,$3 - $8,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $8,A
Happies,52.541405,13.419829,8025081,384,7,6697,A,5.0,"Dunckerstr. 85, 10437 Berlin Germany",European,Restaurants,$4 - $7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,N/A,$4 , $7,A
Restaurant Buschbeck's,52.505695,13.29205,10700265,305,8,6697,A,5.0,"Trendelenburgstr. 14, 14057 Berlin Germany",German,Restaurants,$4 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$4 , $20,A
CEDRE BLANC,52.517487,13.293852,14788878,331,9,6697,A,5.0,"Nehringstrasse 34 Corner Neufertstrasse, 14059 Berlin Germany",Lebanese,Restaurants,$4 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$4 , $15,A
Vedang - plant burger (Alexa),52.51841,13.416042,17847687,306,10,6697,A,5.0,"Grunerstr. 20 Alexa Foodcourt 2, 10179 Berlin Germany",Fast Food,Restaurants,$5 - $10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,$5 , $10,A
Ristorante A MANO,52.519196,13.427626,3546513,2559,11,6697,B,4.5,"Strausberger Platz 2, 10243 Berlin Germany",Italian,Restaurants,$20 - $40,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,$20 , $40,B
Hackethals,52.536575,13.379715,944596,1463,12,6697,B,4.5,"Pflugstrasse 11, 10115 Berlin Germany",German,Restaurants,$7 - $20,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,$7 , $20,B
La Gondola Due,52.437595,13.233188,3805087,565,13,6697,B,4.5,"Beerenstr. 57, 14163 Berlin Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
Vedang - plant burger (Mall of Berlin),52.51046,13.380166,17610696,570,14,6697,B,5.0,"Leipziger Platz 12 Mall of Berlin, 10117 Berlin Germany",American,Restaurants,$5 - $10,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$5 , $10,A
Sapori di Casa,52.527397,13.351583,12475273,394,15,6697,B,5.0,"Wilsnacker Str. 61, 10559 Berlin Germany",Italian,Restaurants,$2 - $20,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$2 , $20,A
Rueyam Gemuese Kebab,52.484715,13.353967,10234425,195,16,6697,B,5.0,"Hauptstr. 133, 10827 Berlin Germany",Fast Food,Quick Bites,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,A
Salamat,52.528732,13.393839,11813181,164,17,6697,B,5.0,"Gartenstr. 1 U Rosenthaler Platz / S Nordbahnhof, 10115 Berlin Germany",Middle Eastern,Restaurants,$4 - $12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$4 , $12,A
Naveenapath,52.541798,13.357328,1963405,617,18,6697,B,5.0,"Tegeler Str. 22, 13353 Berlin Germany",Indian,Restaurants,$6 - $20,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$6 , $20,A
Hasty Pastry,52.503185,13.344049,13994194,273,19,6697,B,5.0,"Bayreuther Str. 6, 10787 Berlin Germany",Cafe,Restaurants,$2 - $10,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$2 , $10,A
El Loco,52.44736,13.577188,6499724,234,20,6697,B,4.5,"Freiheit 5, 12555 Berlin Germany",Mexican,Restaurants,$5 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$5 , $30,B
Vedis,52.541718,13.411981,8596850,1188,21,6697,C,5.0,"Schoenhauser Allee 142, 10437 Berlin Germany",Indian,Restaurants,$5 - $18,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$5 , $18,A
Restaurant Bieberbau,52.479603,13.333711,1344159,906,22,6697,C,4.5,"Durlacher Str. 15, 10715 Berlin Germany",German,Restaurants,$47 - $63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,Available,N/A,$47 , $63,B
Trattoria Portofino,52.51222,13.448152,8685515,957,23,6697,C,4.5,"Gubener Str. 48, 10243 Berlin Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,B
Flamingo Fresh Food Bar,52.51966,13.385432,1953128,962,24,6697,C,4.5,"Neustadtische Kirchstrasse 8, 10117 Berlin Germany",Cafe,Restaurants,$7 - $15,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,Available,N/A,$7 , $15,B
Skykitchen,52.528538,13.457471,4261461,389,25,6697,C,4.5,"Landsberger Allee 106 im andel's Hotel Berlin, 10369 Berlin Germany",International,Restaurants,$125 - $200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$125 , $200,B
Eispatisserie Hokey Pokey,52.5468,13.4176,6780631,212,26,6697,C,4.5,"Stargarder Str. 72, 10437 Berlin Germany",Vegetarian Friendly,Dessert,$1 - $7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$1 , $7,B
Pequena Habana,52.48776,13.349478,6452975,221,27,6697,C,4.5,"Eisenacher Str. 48, 10823 Berlin Germany",Caribbean,Restaurants,$4 - $18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$4 , $18,B
