name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Jivino Enoteca,52.019394,8.528056,1342313,333,1,326,A,4.5,"Obernstr. 51, 33602 Bielefeld, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$3 - $29,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,N/A,$3 , $29,B
Medivino,52.02083,8.527847,21166363,86,2,326,A,5.0,"Klosterplatz 13, 33602 Bielefeld, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$3 - $21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,$3 , $21,A
KDW,52.023937,8.517106,3747858,161,3,326,A,4.5,"Wertherstr. 58, 33615 Bielefeld, North Rhine-Westphalia Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,0,0,B
Argentina - Steak & Mehr,52.018173,8.533714,2306664,362,4,326,A,4.5,"Niederwall 47, 33602 Bielefeld, North Rhine-Westphalia Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Gui,52.019848,8.532353,1871915,88,5,326,A,4.5,"Gehrenberg 8, 33602 Bielefeld, North Rhine-Westphalia Germany",European,Restaurants,$17 - $75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,$17 , $75,B
Numa,52.020065,8.529682,2320303,227,6,326,A,4.0,"Obernstr. 26, 33602 Bielefeld, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,0,0,C
Nohut,52.019352,8.529302,14002976,51,7,326,A,4.5,"Welle 36 Bunnenannplatz, 33602 Bielefeld, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$10 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,$10 , $15,B
Brauhaus Joh. Albrecht,52.02131,8.529706,1041084,343,8,326,A,4.0,"Hagenbruchstr. 8, 33602 Bielefeld, North Rhine-Westphalia Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,C
Allegro Habichtshohe,51.99288,8.54587,1041098,176,9,326,A,4.0,"Bodelschwinghstr. 79, 33604 Bielefeld, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,Available,0,0,C
GluckundSeligkeit,52.011494,8.520159,1307732,379,10,326,A,4.0,"Artur-Ladebeck-Str. 57, 33617 Bielefeld, North Rhine-Westphalia Germany",European,Restaurants,$19 - $32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$19 , $32,C
Las Tapas,52.024773,8.529697,2084374,172,11,326,B,4.5,"Arndtstr. 7, 33602 Bielefeld, North Rhine-Westphalia Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,0,0,B
Peppers,52.02001,8.534475,1343206,251,12,326,B,4.0,"Niederwall 31, 33602 Bielefeld, North Rhine-Westphalia Germany",Mexican,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,C
Schlichte Hof,52.00282,8.48834,1348282,142,13,326,B,4.5,"Osnabrucker Str. 100, 33649 Bielefeld, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,Available,N/A,0,0,B
kado sushi,52.02524,8.528652,1900352,119,14,326,B,4.5,"Arndtstr. 10, 33602 Bielefeld, North Rhine-Westphalia Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Rancho Steakhaus,52.01984,8.53445,11842295,79,15,326,B,4.5,"Niederwall 37, 33602 Bielefeld, North Rhine-Westphalia Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,0,0,B
Nichtschwimmer,52.024986,8.529427,1996446,194,16,326,B,4.0,"Arndtstr. 6-8, 33602 Bielefeld, North Rhine-Westphalia Germany",European,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,0,0,C
Klotzer's Restaurant,52.022713,8.532415,4994442,103,17,326,B,4.5,"Ritterstr. 33, 33602 Bielefeld, North Rhine-Westphalia Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Kohinoor,52.01902,8.53022,1041089,138,18,326,B,4.0,"Neustaedter Str. 25, 33602 Bielefeld, North Rhine-Westphalia Germany",Indian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,C
Cafe Gemach,52.01807,8.530308,7887295,51,19,326,B,4.5,"Neustaedter Str. 10, 33602 Bielefeld, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,$6 - $10,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$6 , $10,B
