name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Bratwursthaus,51.476906,7.216686,1340099,455,1,396,A,4.5,"Kortumstr. 18, 44787 Bochum, North Rhine-Westphalia Germany",German,Restaurants,$2 - $8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,$2 , $8,B
Nhy Star,51.47806,7.217904,3511448,288,2,396,A,4.5,"Bruederstr. 5, 44787 Bochum, North Rhine-Westphalia Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Yamas meze restaurant & weinbar,51.48105,7.22027,1504431,435,3,396,A,4.5,"Massenbergstr. 1, 44787 Bochum, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$16 - $33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,$16 , $33,B
Galletto Grill&Bier,51.489418,7.232222,13332710,137,4,396,A,4.5,"Kupperstr. 41a, 44791 Bochum, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,0,0,B
Hari's Indian Restaurant,51.47675,7.216378,17543835,67,5,396,A,5.0,"Kortumstrasse 9 Bermuda 3-Eck, 44787 Bochum, North Rhine-Westphalia Germany",Indian,Restaurants,$8 - $24,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$8 , $24,A
Trattoria Momo,51.489277,7.232904,3974982,402,6,396,A,4.5,"Stadionring 9, 44791 Bochum, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
Franz Ferdinand,51.490284,7.227714,6931269,284,7,396,A,4.0,"Klinikstr. 51, 44791 Bochum, North Rhine-Westphalia Germany",Austrian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,0,0,C
Steakhaus El Toro,51.477314,7.217472,2007523,289,8,396,A,4.5,"Kreuzstrasse 3, 44787 Bochum, North Rhine-Westphalia Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Una Mas,51.485107,7.217167,2174269,115,9,396,A,4.5,"Hans-Boeckler-Str. 34, 44787 Bochum, North Rhine-Westphalia Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,B
Aosora Sushi Restaurant,51.479305,7.220136,8072226,107,10,396,A,4.5,"Hellweg 18, 44787 Bochum, North Rhine-Westphalia Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,0,0,B
