name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Olive,50.73628,7.103383,3196403,552,1,601,A,4.5,"Bruedergasse 12, 53111 Bonn, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
Reduttchen Weinbar & Restaurant,50.681797,7.1525,1040881,250,2,601,A,5.0,"Kurfuerstenallee 1, 53177 Bonn, North Rhine-Westphalia Germany",European,Restaurants,$30 - $87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$30 , $87,A
Strandhaus,50.742275,7.091544,907803,255,3,601,A,4.5,"Georgstr. 28, 53111 Bonn, North Rhine-Westphalia Germany",European,Restaurants,$15 - $29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,N/A,$15 , $29,B
EisLabor,50.737766,7.094648,4719224,633,4,601,A,4.5,"Maxstr. 16, 53111 Bonn, North Rhine-Westphalia Germany",Vegetarian Friendly,Coffee & Tea,$1 - $11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$1 , $11,B
El Tarascon,50.724186,7.08996,965009,371,5,601,A,4.5,"Clemens-August-Str. 2-4, 53115 Bonn, North Rhine-Westphalia Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,0,0,B
Taj India Restaurant,50.739586,7.099771,2071577,373,6,601,A,4.5,"Koelnstr. 49, 53111 Bonn, North Rhine-Westphalia Germany",Indian,Restaurants,$2 - $15,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$2 , $15,B
C'est la Vie,50.743084,7.091715,2721300,188,7,601,A,4.5,"Koelnstr. 177, 53111 Bonn, North Rhine-Westphalia Germany",French,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,0,0,B
Restaurant Armonia,50.713802,7.045431,15276859,176,8,601,A,4.5,"Rochusstrasse 262, 53123 Bonn, North Rhine-Westphalia Germany",Seafood,Restaurants,$6 - $40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,$6 , $40,B
Eat Italian Pasta & Wine Bar,50.742615,7.104012,17839611,100,9,601,A,4.5,"Rosenstr. 34, 53111 Bonn, North Rhine-Westphalia Germany",Italian,Restaurants,$8 - $26,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,$8 , $26,B
Mr. and Mrs. Humus,50.74337,7.090003,15606726,63,10,601,A,5.0,"Kaiser-Karl-Ring 27, 53111 Bonn, North Rhine-Westphalia Germany",Middle Eastern,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,A
