name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
OX Royal,50.892185,7.002268,19856354,197,1,2171,A,5.0,"Uferstrasse 16, 50996 Cologne, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$39 - $139,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,$39 , $139,A
Japans Ramen Restaurant Takumi Cologne,50.93296,6.940123,19103562,167,2,2171,A,4.5,"Hohenstaufenring 58, 50674 Cologne, North Rhine-Westphalia Germany",Japanese,Restaurants,$5,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$5,0,B
Kaizen,50.93269,6.934363,10479677,279,3,2171,A,4.5,"Lindenstr. 67, 50674 Cologne, North Rhine-Westphalia Germany",Japanese,Restaurants,$10 - $30,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$10 , $30,B
Bulgogi-Haus,50.98469,6.9472,2182710,588,4,2171,A,4.5,"Neusser-Str . 654 50737 Cologne, 50737 Cologne, North Rhine-Westphalia Germany",Barbecue,Restaurants,$19 - $27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$19 , $27,B
Caruso Pastabar,50.92842,6.943431,718264,637,5,2171,A,4.5,"Kasparstrasse 19, 50670 Cologne, North Rhine-Westphalia Germany",Italian,Restaurants,$35 - $50,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,$35 , $50,B
Kamasutra Indian Restaurant,50.929756,6.942294,1233143,423,6,2171,A,4.5,"Weyerstr. 114 50676 U-Bahn Station: Barbarossaplatz - U-Bahn Lines 12, 15, 16, 18, 50676 Cologne, North Rhine-Westphalia Germany",Indian,Restaurants,$13 - $25,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$13 , $25,B
Zippiri Gourmetwerkstatt & Weinbar,50.93651,6.918336,4721200,321,7,2171,A,4.5,"Aachener Str. 259, 50931 Cologne, North Rhine-Westphalia Germany",Italian,Restaurants,$35 - $120,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$35 , $120,B
Restaurant Brucken,50.945946,6.96141,4572521,382,8,2171,A,4.5,"Johannisstr. 79, 50668 Cologne, North Rhine-Westphalia Germany",German,Restaurants,$9 - $39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$9 , $39,B
Lord of the Grillz - Mittelalterliches Grill & Steakhaus,50.914005,6.946758,12934322,336,9,2171,A,4.5,"Vorgebirgstr. 102, 50969 Cologne, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$9 - $150,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$9 , $150,B
Shaka Zulu,50.939964,6.938491,2722617,728,10,2171,A,4.5,"Limburger Str. 29, 50672 Cologne, North Rhine-Westphalia Germany",African,Restaurants,$12 - $23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$12 , $23,B
Bangkok Thai Restaurant,50.93241,6.933487,7682744,395,11,2171,B,4.5,"Lindenstr. 81, 50674 Cologne, North Rhine-Westphalia Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Menz Burger,50.950348,6.952885,11699703,447,12,2171,B,4.5,"Krefelder Str. 12, 50670 Cologne, North Rhine-Westphalia Germany",American,Restaurants,$11 - $20,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$11 , $20,B
Bei Oma Kleinmann,50.929527,6.938225,695516,1443,13,2171,B,4.5,"Zuelpicher Str. 9, 50674 Cologne, North Rhine-Westphalia Germany",Diner,Restaurants,$9 - $25,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$9 , $25,B
Stadtwaldgarten,50.937576,6.881876,2301986,198,14,2171,B,4.5,"Aachener Strasse 701, 50933 Cologne, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$4 - $25,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,$4 , $25,B
Hommage,50.940563,6.941793,8764363,518,15,2171,B,4.5,"Friesenstr. 73, 50670 Cologne, North Rhine-Westphalia Germany",French,Coffee & Tea,$1 - $7,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,Available,N/A,$1 , $7,B
Gruber's,50.953262,6.965511,1495576,280,16,2171,B,4.5,"Clever Strasse 32, 50668 Cologne, North Rhine-Westphalia Germany",Austrian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,0,0,B
Toscanini,50.925774,6.957212,1041828,311,17,2171,B,4.5,"Jakobstrasse 22, 50678 Cologne, North Rhine-Westphalia Germany",Italian,Restaurants,$9 - $24,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$9 , $24,B
Hanse-Stube,50.941677,6.956398,715360,364,18,2171,B,4.5,"Trankgasse 1, 50667 Cologne, North Rhine-Westphalia Germany",French,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,B
Ristorante Al Solito Posto,50.931732,7.000624,5818181,223,19,2171,B,4.5,"Wattstr. 9, 51105 Cologne, North Rhine-Westphalia Germany",Italian,Restaurants,$5 - $26,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,$5 , $26,B
