name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Emilio Restaurant,51.513435,7.486268,3824450,144,1,614,A,5.0,"Kaiserstr. 105, 44135 Dortmund, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,A
Nhy Star,51.515827,7.464022,8619246,352,2,614,A,4.5,"Hansastr. 24, 44137 Dortmund, North Rhine-Westphalia Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Pfefferkorn,51.513527,7.455622,718273,1083,3,614,A,4.5,"Hoher Wall 38, 44137 Dortmund, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$5 - $45,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$5 , $45,B
Der Schneider,51.512676,7.532877,12067207,106,4,614,A,5.0,"Am Gottesacker 70, 44143 Dortmund, North Rhine-Westphalia Germany",International,Restaurants,$12 - $32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$12 , $32,A
JIA - the taste of home,51.48206,7.501482,15056976,79,5,614,A,5.0,"Am Bruchheck 29, 44263 Dortmund, North Rhine-Westphalia Germany",Asian,Restaurants,$5 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$5 , $20,A
Lemongrass,51.513973,7.473244,8538230,142,6,614,A,4.5,"Ostwall 2, 44135 Dortmund, North Rhine-Westphalia Germany",Asian,Restaurants,$3 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $20,B
Food Brother,51.516167,7.465795,8436647,240,7,614,A,4.5,"Gerberstr. 1, 44135 Dortmund, North Rhine-Westphalia Germany",American,Quick Bites,$3 - $16,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$3 , $16,B
Brauhaus Wenkers,51.51347,7.466691,695534,389,8,614,A,4.0,"Betenstr. 1, 44137 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,C
Hovels Hausbrauerei,51.512592,7.4586,742986,523,9,614,A,4.0,"Hoher Wall 5-7 44137 Dortmund, 44137 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,$3 - $31,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$3 , $31,C
Gruener Salon,51.526127,7.466094,12948790,64,10,614,A,5.0,"Nordmarkt 8 Auf dem Nordmarkt - im Park, 44145 Dortmund, North Rhine-Westphalia Germany",Cafe,Restaurants,$3 - $17,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,Available,N/A,$3 , $17,A
Zum alten Markt,51.51387,7.466398,983970,534,11,614,B,4.0,"Markt 3, 44137 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,C
Pottsalat,51.5001,7.481398,19669612,76,12,614,B,4.5,"Rheinlanddamm 8, 44139 Dortmund, North Rhine-Westphalia Germany",International,Restaurants,$7 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,$7 , $15,B
Miss Mai,51.506134,7.4508,8139088,129,13,614,B,4.5,"Lindemannstr. 15, 44137 Dortmund, North Rhine-Westphalia Germany",Vegetarian Friendly,Restaurants,$5 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$5 , $20,B
Big Boost Burger,51.519928,7.4881,12877094,117,14,614,B,4.5,"Klonnestrasse 94, 44143 Dortmund, North Rhine-Westphalia Germany",American,Quick Bites,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Wurst Willi,51.51442,7.460501,15247021,66,15,614,B,5.0,"Petrikirchhof Westenhellweg, 44137 Dortmund, North Rhine-Westphalia Germany",German,Quick Bites,$2 - $6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,$2 , $6,A
Namu,51.512688,7.470003,3928055,160,16,614,B,4.5,"Olpe 14, 44135 Dortmund, North Rhine-Westphalia Germany",Korean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Mr. Pizza,51.50699,7.324098,5510900,70,17,614,B,5.0,"Provinzialstr. 218, 44388 Dortmund, North Rhine-Westphalia Germany",Italian,Restaurants,$5 - $30,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,$5 , $30,A
Cafe Lotte,51.505123,7.465506,7982898,91,18,614,B,4.5,"Dresdener Str. 31, 44139 Dortmund, North Rhine-Westphalia Germany",Cafe,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Pfefferkorn NY Steakhouse,51.491646,7.505619,4582582,320,19,614,B,4.0,"Hafenpromenade 1-2, 44263 Dortmund, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$5 - $49,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,$5 , $49,C
No More Rice,51.50622,7.473726,13360340,74,20,614,B,4.5,"Maerkische Str. 62, 44141 Dortmund, North Rhine-Westphalia Germany",Chinese,Restaurants,$15 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$15 , $35,B
OmaRosa,51.508602,7.462883,12137141,109,21,614,C,4.5,"Chemnitzer Str. 9, 44139 Dortmund, North Rhine-Westphalia Germany",Cafe,Restaurants,$1 - $9,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,N/A,N/A,N/A,Available,Available,N/A,$1 , $9,B
Overkamp,51.44974,7.505896,1041165,211,22,614,C,4.0,"Am Ellberg 1 44265 Dortmund, 44267 Dortmund, North Rhine-Westphalia Germany",German,Restaurants,$12 - $39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$12 , $39,C
Vida,51.461548,7.456556,8868528,106,23,614,C,4.5,"Hagener Str. 231, 44229 Dortmund, North Rhine-Westphalia Germany",International,Restaurants,$9 - $33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$9 , $33,B
L'Osteria Dortmund,51.50326,7.47471,8000775,370,24,614,C,4.0,"Friedensplatz 8, 44137 Dortmund, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,C
das-HOESCH.Restaurant,51.487503,7.488497,20860859,34,25,614,C,4.5,"Phoenixplatz 3, 44263 Dortmund, North Rhine-Westphalia Germany",European,Restaurants,$5 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$5 , $35,B
Olafs,51.513474,7.452447,12731036,52,26,614,C,5.0,"Rheinische Str. 26, 44137 Dortmund, North Rhine-Westphalia Germany",Barbecue,Restaurants,$4 - $22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$4 , $22,A
