name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Restaurant Stresa,51.04463,13.800258,5852114,603,1,837,A,4.5,"Augsburger Str. 85, 01277 Dresden, Saxony Germany",German,Restaurants,$7 - $26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,Available,Available,N/A,$7 , $26,B
Genuss-Atelier,51.067657,13.776149,7180073,593,2,837,A,5.0,"Bautzner Str. 149, 01099 Dresden, Saxony Germany",German,Restaurants,$8 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,N/A,Available,N/A,$8 , $35,A
Mamma Mia,51.048862,13.740873,8009090,1279,3,837,A,4.5,"Kreuzstrasse 1-3, 01067 Dresden, Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Schmidt's Restaurant & Gourmetcatering,51.107433,13.759199,1342060,263,4,837,A,4.5,"Moritzburger Weg 67, 01109 Dresden, Saxony Germany",European,Restaurants,$15 - $29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,$15 , $29,B
Restaurant Moritz,51.051613,13.742532,5582176,129,5,837,A,5.0,"An der Frauenkirche 13 Eingang über Hotel Suitess - Rampische Straße 1, 01067 Dresden, Saxony Germany",European,Restaurants,$12 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,$12 , $30,A
Dresdner Kaffeestuebchen,51.051643,13.743761,5962083,427,6,837,A,4.5,"Salzgasse 8 01067 Dresden, 01067 Dresden, Saxony Germany",Diner,Coffee & Tea,$1 - $17,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,$1 , $17,B
Estancia Beef-Club,51.064564,13.7625,9736314,327,7,837,A,4.5,"Forststr. 1 Ecke Bautznerstr., 01099 Dresden, Saxony Germany",Steakhouse,Restaurants,$20 - $100,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,$20 , $100,B
Lloyd's Cafe & Bar,51.06427,13.755541,2708338,216,8,837,A,4.5,"Martin-Luther-Str. 17, 01099 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,B
Restaurant Daniel,51.05097,13.777465,4371568,329,9,837,A,4.5,"Gluckstrasse 3 Kreuzung Dürrerstraße, 01309 Dresden, Saxony Germany",Diner,Restaurants,$5 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,N/A,$5 , $25,B
Little India Dresden,51.066154,13.754668,6613178,653,10,837,A,4.5,"Louisenstrasse 48, 01099 Dresden, Saxony Germany",Indian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Altes Wettbuero,51.06455,13.744538,3521759,252,11,837,B,4.5,"Antonstr. 8 Nähe Albertplatz, 01097 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,B
Karl May Bar,51.051636,13.735796,2657933,325,12,837,B,4.5,"Taschenberg 3, 01067 Dresden, Saxony Germany",Bar,Restaurants,$10 - $19,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$10 , $19,B
Lila Sosse,51.068085,13.753622,2159979,581,13,837,B,4.5,"Alaunstr. 70 Im Hof der Fabelwesen, 01099 Dresden, Saxony Germany",German,Restaurants,$4 - $22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,Available,Available,N/A,$4 , $22,B
Restaurant Acheron,51.06111,13.741111,6591848,329,14,837,B,4.5,"Koenigstr. 5a, 01097 Dresden, Saxony Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,B
Estancia Steakhouse Striesn,51.046967,13.772238,1041400,317,15,837,B,4.5,"Fetscherstr. 30 01309 Dresden, 01307 Dresden, Saxony Germany",Steakhouse,Restaurants,$20 - $75,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,$20 , $75,B
Kunst-Cafe-Antik,51.053215,13.741057,1041363,329,16,837,B,4.5,"An der Frauenkirche 5, 01067 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,B
Restaurant brennNessel,51.054466,13.726142,1041414,274,17,837,B,4.5,"Schuetzengasse 18, 01067 Dresden, Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,0,0,B
Kastenmeiers,51.05131,13.744665,1949568,655,18,837,B,4.5,"Taschenberg 3 Taschenbergpalais, 01067 Dresden, Saxony Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,Available,0,0,B
Alte Meister,51.053932,13.734192,1041367,468,19,837,B,4.0,"Theaterplatz 1, 01067 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,C
Oma & Opa,51.059696,13.683308,809976,255,20,837,B,4.5,"Cossebauder Str. 15, 01157 Dresden, Saxony Germany",German,Restaurants,$14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$14,0,B
Carolaschloesschen,51.03355,13.763629,1877755,921,21,837,C,4.0,"Querallee 7 Großer Garten, 01219 Dresden, Saxony Germany",German,Restaurants,$9 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$9 , $25,C
Cafe Milchmadchen,51.047955,13.750279,11331516,227,22,837,C,4.5,"Grunaer Str. 27 01069 Dresden, 01069 Dresden, Saxony Germany",German,Coffee & Tea,$5 - $13,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,$5 , $13,B
Cafe Schinkelwache,51.053394,13.735798,1041362,368,23,837,C,4.0,"Theaterplatz 2, 01067 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,C
Sophienkeller,51.051945,13.73478,782343,1226,24,837,C,4.0,"Taschenberg 3, 01067 Dresden, Saxony Germany",German,Dessert,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,C
Hausbrau im Ballhaus Watzke,51.077797,13.715626,1041384,414,25,837,C,4.0,"Koetzschenbroder Str. 1, 01139 Dresden, Saxony Germany",German,Restaurants,$4 - $20,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,$4 , $20,C
Coselpalais Restaurant & Grand Cafe,51.052128,13.74211,967507,1060,26,837,C,4.0,"An der Frauenkirche 12 01067 Dresden, 01067 Dresden, Saxony Germany",German,Dessert,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,C
Zum Schiesshaus,51.05468,13.7275,1041366,379,27,837,C,4.0,"Am Schiesshaus 19, 01067 Dresden, Saxony Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,C
Kutscherschaenke,51.05312,13.741296,1978206,760,28,837,C,4.0,"Muenzgasse 10, 01067 Dresden, Saxony Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,N/A,N/A,0,0,C
Gansedieb,51.04904,13.74013,1041371,436,29,837,C,4.0,"Weisse Gasse 1, 01067 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,C
Elements DELI & Restaurant,51.080826,13.761029,1931707,240,30,837,C,4.5,"Koenigsbruecker Str. 96, 01099 Dresden, Saxony Germany",International,Restaurants,$5 - $90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,$5 , $90,B
Schwindts,51.02578,13.804224,3687271,104,31,837,D,5.0,"Bodenbacher Str. 120, 01277 Dresden, Saxony Germany",Gastropub,Restaurants,$11 - $21,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,Available,Available,$11 , $21,A
Caroussel Nouvelle,51.060993,13.741967,2012763,193,32,837,D,4.5,"Konigstrasse 14 Hotel Bülow Palais, 01097 Dresden, Saxony Germany",European,Restaurants,$18 - $48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,$18 , $48,B
Raskolnikoff,51.064335,13.754838,1970895,326,33,837,D,4.5,"Boehmische Str. 34 Im Kunsthaus Raskolnikow, 01099 Dresden, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,B
Augustiner an der Frauenkirche,51.0516,13.742179,1827752,1186,34,837,D,4.0,"An der Frauenkirche 16/17, 01067 Dresden, Saxony Germany",German,Restaurants,$5 - $20,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$5 , $20,C
PulverTurm an der Frauenkirche,51.0522,13.742288,782302,973,35,837,D,4.0,"An der Frauenkirche 12, 01067 Dresden, Saxony Germany",German,Restaurants,$7 - $24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$7 , $24,C
Watzke Brauereiausschank am Ring,51.047394,13.73564,3506524,330,36,837,D,4.0,"Dr.-Kuelz-Ring 9, 01067 Dresden, Saxony Germany",German,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,C
