name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
The Duchy - Restaurant and Raw Bar,51.225376,6.777244,20903440,157,1,1538,A,5.0,"Konigsallee 11 Entrance Heinrich-Heine-Allee 36a, 40212 Dusseldorf, North Rhine-Westphalia Germany",European,Restaurants,$14 - $60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$14 , $60,A
Restaurant Setzkasten,51.219044,6.783308,15052725,370,2,1538,A,5.0,"Berliner Allee 52 Zurheide Center Dusseldorf Im Crown, 40212 Dusseldorf, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,N/A,Available,N/A,0,0,A
Spaghetti & Stars,51.230858,6.756269,5482507,1087,3,1538,A,4.5,"Oberkasseler Str. 65, 40545 Dusseldorf, North Rhine-Westphalia Germany",Italian,Restaurants,$11 - $34,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,Available,Available,Available,$11 , $34,B
Rubens,51.23446,6.778216,19154272,134,4,1538,A,5.0,"Kaiserstrasse 5, 40479 Dusseldorf, North Rhine-Westphalia Germany",Austrian,Restaurants,$9 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,$9 , $35,A
Ristorante La Luce Due,51.23068,6.809574,4545071,1890,5,1538,A,4.5,"Dorotheenstr. 20, 40235 Dusseldorf, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,0,0,B
The Lox,51.232597,6.744861,17065446,152,6,1538,A,5.0,"Theo-Champion-Str. 2, 40549 Dusseldorf, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$20 - $60,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,$20 , $60,A
Restaurant le flair,51.23936,6.794235,7315205,195,7,1538,A,4.5,"Marc-Chagall-Str. 108, 40477 Dusseldorf, North Rhine-Westphalia Germany",French,Restaurants,$96 - $144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,$96 , $144,B
Da Cla Restaurant,51.215466,6.755881,12402586,304,8,1538,A,4.5,"Kaistrasse 17 MedienHafen, 40221 Dusseldorf, North Rhine-Westphalia Germany",Italian,Restaurants,$15 - $50,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,$15 , $50,B
The Bull Steak Expert,51.23167,6.781828,4874667,501,9,1538,A,4.5,"Taubenstr. 14, 40479 Dusseldorf, North Rhine-Westphalia Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,0,0,B
Los Chicos,51.226997,6.774064,15148278,357,10,1538,A,4.5,"Andreasstrasse.7-9, 40213 Dusseldorf, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$13 - $80,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,$13 , $80,B
