name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Nuh's Thai Schnellrestaurant,51.430206,6.762182,1748302,283,1,328,A,4.5,"Dellplatz 6, 47051 Duisburg, North Rhine-Westphalia Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Restaurant Poseidon,51.41002,6.683879,1040509,123,2,328,A,4.5,"Jagerstrasse 2, 47228 Duisburg, North Rhine-Westphalia Germany",Greek,Restaurants,$8 - $18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,$8 , $18,B
Pesas AllSteaks,51.41816,6.780716,3766208,198,3,328,A,4.5,"Sternbuschweg 296, 47057 Duisburg, North Rhine-Westphalia Germany",Steakhouse,Restaurants,$14 - $140,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$14 , $140,B
Poukhoun - Laotisches Restaurant,51.415447,6.760807,6802649,107,4,328,A,4.5,"Heerstr. 256, 47053 Duisburg, North Rhine-Westphalia Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Kuppersmuhle Restaurant,51.441402,6.773678,6786797,137,5,328,A,4.5,"Philosophenweg 49-51, 47051 Duisburg, North Rhine-Westphalia Germany",Central European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,0,0,B
Renzis,51.477486,6.667778,3254859,192,6,328,A,4.5,"Grafschafter Str. 197, 47199 Duisburg, North Rhine-Westphalia Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,B
Webster-Brauhaus,51.4304,6.761444,1534888,387,7,328,A,4.0,"Dellplatz 14, 47051 Duisburg, North Rhine-Westphalia Germany",Brew Pub,Restaurants,$6 - $23,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,Available,N/A,$6 , $23,C
Burger Nerds,51.527775,6.741809,8795652,132,8,328,A,4.5,"Dr.-Wilhelm-Roelen-Str. 429, 47179 Duisburg, North Rhine-Westphalia Germany",American,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Restaurant Antiocheia,51.51371,6.77616,15687540,50,9,328,A,5.0,"Mattlerstr. 11, 47169 Duisburg, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$14 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,$14 , $30,A
Riesling erleben,51.39786,6.760556,8649290,88,10,328,A,4.5,"Duesseldorfer Str. 566, 47055 Duisburg, North Rhine-Westphalia Germany",German,Restaurants,$7 - $23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,Available,Available,N/A,$7 , $23,B
