name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Suvai Bar & Restaurant,51.44861,7.01309,13154971,285,1,595,A,5.0,"Juliusstr. 4, 45128 Essen, North Rhine-Westphalia Germany",Indian,Restaurants,$5 - $18,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$5 , $18,A
Eis Casal - Die Eismacher,51.44611,6.975667,6924220,148,2,595,A,5.0,"Muelheimer Str. 62, 45145 Essen, North Rhine-Westphalia Germany",Vegetarian Friendly,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,A
Der Bonner Hof,51.363384,6.939854,961528,345,3,595,A,4.5,"Kringsgat 14, 45219 Essen, North Rhine-Westphalia Germany",Seafood,Restaurants,$16 - $36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,Available,$16 , $36,B
Viva-la-Vida,51.440445,7.012336,13423928,147,4,595,A,5.0,"Caecilienstr. 4, 45130 Essen, North Rhine-Westphalia Germany",Mediterranean,Restaurants,$4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,$4,0,A
Pottsalat,51.44873,7.00764,12630845,130,5,595,A,4.5,"Bismarckstrasse 5, 45128 Essen, North Rhine-Westphalia Germany",Healthy,Restaurants,$7 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$7 , $15,B
Cowboystyle Steakhouse,51.432095,7.001277,8488255,401,6,595,A,4.5,"Alfredstrasse 122, 45131 Essen, North Rhine-Westphalia Germany",American,Restaurants,$40 - $120,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$40 , $120,B
Lua vietnamese Kitchen,51.456722,7.007497,12962151,118,7,595,A,4.5,"Lindenallee 81, 45127 Essen, North Rhine-Westphalia Germany",Asian,Restaurants,$3 - $14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $14,B
PANs Bebop,51.436165,7.002425,10329498,75,8,595,A,5.0,"Alfredstrasse 64, 45130 Essen, North Rhine-Westphalia Germany",American,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,A
Restaurant Tablo,51.44929,7.012142,2420584,366,9,595,A,4.0,"Huyssenallee 5, 45128 Essen, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,0,0,C
SCHIFFERS,51.38804,7.001581,7363833,153,10,595,A,4.5,"Brueckstr. 20, 45239 Essen, North Rhine-Westphalia Germany",German,Restaurants,$6 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,Available,N/A,$6 , $25,B
