name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Maindiner,50.098976,8.693056,8385162,939,1,2194,A,5.0,"Hainer Weg 29, 60599 Frankfurt, Hesse Germany",Steakhouse,Restaurants,$9 - $48,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,Available,Available,N/A,$9 , $48,A
Elia,50.10456,8.641389,5993196,432,2,2194,A,4.5,"Frankenallee 111, 60326 Frankfurt, Hesse Germany",Seafood,Restaurants,$23 - $50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,$23 , $50,B
Trattoria i Siciliani,50.104904,8.684424,1190751,2054,3,2194,A,4.5,"Walter-Kolb-Str. 17, 60594 Frankfurt, Hesse Germany",Pizza,Restaurants,$7 - $26,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,$7 , $26,B
AROMA,50.12387,8.681382,1342805,270,4,2194,A,4.5,"Oeder Weg 80a, 60318 Frankfurt, Hesse Germany",Lebanese,Restaurants,$1 - $111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,$1 , $111,B
Restaurant Medici,50.111725,8.679165,1118966,1145,5,2194,A,4.5,"Weissadlergasse 2, 60311 Frankfurt, Hesse Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,Available,N/A,N/A,0,0,B
The Legacy Bar & Grill,50.10551,8.666444,12231570,565,6,2194,A,4.5,"Wiesenhuettenplatz 28-38 Bahnhofsviertel, 60329 Frankfurt, Hesse Germany",Steakhouse,Restaurants,$15 - $39,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$15 , $39,B
Waxy's Irish Bar,50.115845,8.677024,2349148,273,7,2194,A,4.5,"Taubenstr. 11, 60313 Frankfurt, Hesse Germany",Irish,Restaurants,$5 - $15,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,$5 , $15,B
Ristorante Punto e Pasta 1998,50.10792,8.660624,4167027,420,8,2194,A,4.5,"Ottostrasse 4, 60329 Frankfurt, Hesse Germany",Italian,Restaurants,$8 - $28,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$8 , $28,B
MAINKAI CAFE,50.109398,8.685024,1726601,395,9,2194,A,4.5,"Mainkai 15, 60311 Frankfurt, Hesse Germany",International,Restaurants,$4 - $15,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,$4 , $15,B
Bidlabu – Bistro und Bar,50.114197,8.674303,4050427,123,10,2194,A,4.5,"Kleine Bockenheimer Str. 14, 60313 Frankfurt, Hesse Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,0,0,B
Pizzeria Sarita,50.143753,8.726407,14119467,183,11,2194,B,4.5,"Wilhelmshoeher Str. 132, 60389 Frankfurt, Hesse Germany",Italian,Restaurants,$5 - $10,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,$5 , $10,B
African Queen,50.117294,8.645855,1928955,445,12,2194,B,4.5,"Schloss strasse 113 In der Nähe Messe, 60486 Frankfurt, Hesse Germany",African,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Im Herzen Afrikas,50.10754,8.671546,807247,880,13,2194,B,4.5,"Gutleutstr. 13, 60329 Frankfurt, Hesse Germany",African,Restaurants,$22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$22,0,B
Ariston,50.11545,8.689194,2520807,1424,14,2194,B,4.5,"Heiligkreuzgasse 29, 60313 Frankfurt, Hesse Germany",Mediterranean,Restaurants,$12 - $26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$12 , $26,B
Adabina,50.113304,8.692222,11870652,191,15,2194,B,4.5,"Allerheiligenstr. 3, 60313 Frankfurt, Hesse Germany",African,Restaurants,$10 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$10 , $35,B
Iwase,50.116943,8.686371,783828,446,16,2194,B,4.5,"Vilbeler Str. 31, 60313 Frankfurt, Hesse Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,0,0,B
Pizzeria 7 Bello,50.108135,8.660054,1340204,890,17,2194,B,4.5,"Niddastr. 82, 60329 Frankfurt, Hesse Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,B
Ebbelwoi Unser,50.104607,8.68852,8593564,950,18,2194,B,4.5,"Abtsgaesschen 8 Eingang Kleine Brückenstraße 15, 60594 Frankfurt, Hesse Germany",German,Restaurants,$3 - $18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,$3 , $18,B
Thai & Turf - Steakhouse,50.089073,8.67092,6847690,1772,19,2194,B,4.5,"Morfelder Landstrasse 235, 60598 Frankfurt, Hesse Germany",Steakhouse,Restaurants,$60 - $150,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$60 , $150,B
Bitter & Zart,50.111507,8.684039,2691406,275,20,2194,B,4.5,"Braubachstr. 14, 60311 Frankfurt, Hesse Germany",Cafe,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,0,0,B
Restaurant Namaste India,50.118603,8.647574,1173479,437,21,2194,C,4.5,"Jordanstr. 19, 60486 Frankfurt, Hesse Germany",Indian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Toh-Thong Thai Cuisine,50.109467,8.66101,5270602,613,22,2194,C,4.5,"Duesseldorfer Str. 22, 60329 Frankfurt, Hesse Germany",Asian,Restaurants,$3 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,$3 , $25,B
