name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
SuRolls,53.551697,9.995514,21293847,103,1,3265,A,5.0,"Ballindamm 40 Europa Passage, Untergeschoss 1, 20095 Hamburg Germany",Asian,Restaurants,$3 - $13,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $13,A
Stadtsalat,53.55694,9.98913,21238514,80,2,3265,A,5.0,"Grosse Theaterstr. 31-35, 20354 Hamburg Germany",American,Restaurants,$11 - $16,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,$11 , $16,A
The Table Kevin Fehling,53.542564,10.003078,8561371,224,3,3265,A,5.0,"Shanghaiallee 15, 20457 Hamburg Germany",European,Restaurants,$205 - $210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,$205 , $210,A
Bianc,53.542965,9.994456,12843767,212,4,3265,A,5.0,"Am Sandtorkai 50, 20457 Hamburg Germany",Mediterranean,Restaurants,$85 - $160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,N/A,$85 , $160,A
Ola Lisboa,53.54604,9.975168,10322027,1008,5,3265,A,4.5,"Ditmar-Koel-Str. 18, 20459 Hamburg Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,0,0,B
Erdapfel Hamburg,53.548714,10.002488,13832102,90,6,3265,A,5.0,"Burchardstr. 10, 20095 Hamburg Germany",Healthy,Restaurants,$6 - $8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$6 , $8,A
Bootshaus Grill und Bar,53.541172,9.990624,13201843,222,7,3265,A,5.0,"Am Kaiserkai 19 Vasco Da Gama Platz, 20457 Hamburg Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,0,0,A
Der Kiezbaecker,53.549145,9.959934,10125723,310,8,3265,A,5.0,"Silbersackstr. 8, 20359 Hamburg Germany",German,Coffee & Tea,,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,N/A,N/A,0,0,A
Restaurant Haerlin,53.555668,9.99189,718297,372,9,3265,A,5.0,"Neuer Jungfernstieg 9-14 Fairmont Hotel Vier Jahreszeiten, 20354 Hamburg Germany",French,Restaurants,$60 - $300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,$60 , $300,A
Philipps Restaurant,53.558025,9.970912,8028535,839,10,3265,A,5.0,"Turnerstrasse 9, 20357 Hamburg Germany",International,Restaurants,$14 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$14 , $35,A
