name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Roy's Restaurant,52.379047,9.750436,12361333,233,1,948,A,5.0,"Volgersweg 50, 30175, Hannover, Lower Saxony Germany",Italian,Restaurants,$13 - $36,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$13 , $36,A
Botticelli Ristorante,52.408096,9.799632,6209209,246,2,948,A,4.5,"Sutelstr. 70, 30659, Hannover, Lower Saxony Germany",Italian,Restaurants,$50 - $90,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,$50 , $90,B
Lindenblatt Burger-Bar,52.379887,9.732485,12172788,179,3,948,A,4.5,"Nikolaistrasse 1, 30159, Hannover, Lower Saxony Germany",Fast Food,Quick Bites,$4 - $13,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$4 , $13,B
Ristorante-Weinstube Leonardo,52.37256,9.743909,1908448,330,4,948,A,4.5,"Sophienstr. 6, 30159, Hannover, Lower Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,N/A,0,0,B
Gondel Restaurant,52.37305,9.738978,1340640,853,5,948,A,4.5,"Georgstr. 36, 30159, Hannover, Lower Saxony Germany",International,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,0,0,B
Beef and Reef,52.363396,9.75485,7341044,342,6,948,A,4.5,"Oesterleystr. 1, 30171, Hannover, Lower Saxony Germany",Steakhouse,Restaurants,$9 - $26,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$9 , $26,B
Meteora,52.382103,9.737707,964870,442,7,948,A,4.5,"Hamburger Allee 37, 30161, Hannover, Lower Saxony Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
Ristorante Tesoro,52.37036,9.759839,4506888,376,8,948,A,4.5,"Marienstr. 113, 30171, Hannover, Lower Saxony Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,N/A,0,0,B
Basil Restaurant,52.39444,9.737903,1340412,306,9,948,A,4.5,"Dragonerstr. 30, 30163, Hannover, Lower Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,0,0,B
Kytaro - Ihr Grieche,52.339634,9.829199,1041615,227,10,948,A,4.5,"Wuelferoder Str. 8, 30539, Hannover, Lower Saxony Germany",Greek,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Al Dar,52.375305,9.746832,2075957,709,11,948,B,4.5,"Koenigstr. 3, 30175, Hannover, Lower Saxony Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,0,0,B
TresOr Restaurant & Bar,52.434235,9.802188,8443271,204,12,948,B,4.5,"Pruessentrift 61, 30657, Hannover, Lower Saxony Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Handwerk,52.356888,9.763878,11996781,135,13,948,B,4.5,"Altenbekener Damm 17, 30173, Hannover, Lower Saxony Germany",Fusion,Restaurants,$110 - $155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$110 , $155,B
BBQ - The Finest Steakhouse,52.350674,9.773565,3674930,207,14,948,B,4.5,"Hainholzerstr.1 Neben dem Mercur Hotel am Klagesmarkt, 30159, Hannover, Lower Saxony Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,0,0,B
BLOCK HOUSE Am Kropcke,52.37344,9.738653,960237,588,15,948,B,4.0,"Staendehausstr. 4, 30159, Hannover, Lower Saxony Germany",American,Restaurants,$4 - $28,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$4 , $28,C
