name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Restaurant Sonnenbad,49.012627,8.348418,5817948,213,1,604,A,4.5,"Am Sonnenbad 1, 76189, Karlsruhe, Baden-Wurttemberg Germany",Mediterranean,Restaurants,$2 - $24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,$2 , $24,B
Pinsa Si,49.00722,8.39475,16810634,83,2,604,A,5.0,"Karlstrasse 31, 76133 Karlsruhe, 76133, Karlsruhe, Baden-Wurttemberg Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,Available,N/A,N/A,0,0,A
Restaurant Terra Mare,49.003933,8.398199,7236591,423,3,604,A,4.5,"Ritterstr. 19, 76137, Karlsruhe, Baden-Wurttemberg Germany",Seafood,Restaurants,$13 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,$13 , $25,B
Toro Tapasbar,49.01077,8.393829,4054709,577,4,604,A,4.5,"Akademiestrasse 57, 76133, Karlsruhe, Baden-Wurttemberg Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,Available,Available,Available,0,0,B
Casa do Jose,49.00582,8.407025,3737103,337,5,604,A,4.5,"Kriegsstr. 92, 76133, Karlsruhe, Baden-Wurttemberg Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,0,0,B
Alte Brauerei,49.053356,8.531175,5531196,226,6,604,A,4.5,"Bruchsaler Str. 22, 76356 Weingarten, Karlsruhe, Baden-Wurttemberg Germany",Barbecue,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,0,0,B
DeliBurgers,49.01103,8.395794,9734212,276,7,604,A,4.5,"Akademiestr. 39 Next to Europaplatz, 76133, Karlsruhe, Baden-Wurttemberg Germany",American,Restaurants,$11 - $20,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$11 , $20,B
Sokrates,48.996128,8.391512,1040113,287,8,604,A,4.5,"Welfenstr. 18, 76137, Karlsruhe, Baden-Wurttemberg Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,0,0,B
Il Teatro2,49.003975,8.40281,2073052,82,9,604,A,5.0,"Ettlingerstrasse 2c, 76137, Karlsruhe, Baden-Wurttemberg Germany",Seafood,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,0,0,A
Osteria Carre,49.00929,8.37632,6214144,180,10,604,A,4.5,"Nelkenstr. 19, 76135, Karlsruhe, Baden-Wurttemberg Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
