name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
ZIHNO Kitchen & Bar,51.33627,12.374522,20995951,101,1,661,A,5.0,"Martin-Luther-Ring 2 Zentrum, 04109, Leipzig, Saxony Germany",International,Restaurants,$8 - $40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,$8 , $40,A
Ratskeller,51.336666,12.373047,2084055,1432,2,661,A,4.5,"Lotterstr. 1 Center, new town hall, basement, 04109, Leipzig, Saxony Germany",German,Restaurants,$10 - $39,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,Available,Available,N/A,$10 , $39,B
C'est la vie,51.33904,12.368619,8726148,288,3,661,A,4.5,"Zentralstrasse 7, 04109, Leipzig, Saxony Germany",French,Restaurants,$70 - $115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$70 , $115,B
Restaurant Alfa,51.337936,12.372094,12415780,101,4,661,A,5.0,"Ratsfreischulstr. 8-10 Zentrum, 04109, Leipzig, Saxony Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,0,0,A
Drogerie,51.359104,12.362272,743221,295,5,661,A,4.5,"Schillerweg 36 Gohlis, 04155, Leipzig, Saxony Germany",French,Restaurants,$6 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,$6 , $35,B
Gaststaette Kollektiv,51.322105,12.373281,5601308,250,6,661,A,4.5,"Karl-Liebknecht-Str. 72 Südvorstadt, 04275, Leipzig, Saxony Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,N/A,N/A,0,0,B
Bayerischer Bahnhof,51.32952,12.3812,1041475,1079,7,661,A,4.0,"Bayrischer Platz 1 Zentrum Südost, 04103, Leipzig, Saxony Germany",German,Restaurants,$6 - $17,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$6 , $17,C
Indian Crown,51.342125,12.376574,12445257,342,8,661,A,4.0,"Reichsstrasse 15 Zentrum, 04109, Leipzig, Saxony Germany",Indian,Restaurants,$4 - $19,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$4 , $19,C
IMPERII Restaurant & Bar,51.342175,12.379426,8531397,201,9,661,A,4.5,"Bruhl 72 Zentrum, 04109, Leipzig, Saxony Germany",Bar,Restaurants,$6 - $29,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$6 , $29,B
Max Enk,51.33846,12.376985,2690746,267,10,661,A,4.5,"Neumarkt 9 Städtisches Kaufhaus, Zentrum, 04109, Leipzig, Saxony Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,0,0,B
Ouzeri Was 'Kost' Das,51.32972,12.346389,7681845,314,11,661,B,4.5,"Nonnenstr. 5 d Plagwitz, 04229, Leipzig, Saxony Germany",Greek,Restaurants,$12 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$12 , $25,B
HANS IM GLUECK Burgergrill & Bar,51.338497,12.379794,10454635,375,12,661,B,4.0,"Augustusplatz 14, 04109, Leipzig, Saxony Germany",American,Restaurants,$7 - $25,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$7 , $25,C
