name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Restaurant Zur Waldpforte,49.525677,8.511316,4844580,186,1,525,A,4.5,"Lampertheimer Str. 144, 68305 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,$10 - $24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$10 , $24,B
Da Vino,49.48789,8.475743,2481134,681,2,525,A,4.5,"S 6 20 across the National Theatre, 68161 Mannheim, Baden-Wurttemberg Germany",Italian,Restaurants,$8 - $28,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,N/A,$8 , $28,B
Eismanufaktur ZeitgEISt,49.473827,8.469175,8280335,143,3,525,A,5.0,"Meerfeldstr. 45 Corner Windeckstrasse, 68163 Mannheim, Baden-Wurttemberg Germany",Vegetarian Friendly,Dessert,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,A
Restaurant Heimat,49.416634,8.501988,7072048,330,4,525,A,4.5,"Antwerpener Str. 42, 68219 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,$6 - $26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,N/A,N/A,$6 , $26,B
Bustan,49.48144,8.474077,8374362,297,5,525,A,4.5,"Seckenheimer Str. 4-6, 68165 Mannheim, Baden-Wurttemberg Germany",Middle Eastern,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Dobler’s Restaurant,49.48095,8.476222,1925381,172,6,525,A,4.5,"Seckenheimer Str. 20, 68165 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,Available,N/A,0,0,B
Die Metzgerei,49.474384,8.46539,7244219,491,7,525,A,4.5,"Rheinparkstrasse 4, 68163 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,$2 - $39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,$2 , $39,B
Snocks Coffee - Snockslicious,49.48692,8.478481,22849757,56,8,525,A,5.0,"Lameystrasse 15, 68165 Mannheim, Baden-Wurttemberg Germany",Cafe,Restaurants,,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,A
Natthanicha Thai Cuisine,49.478382,8.511591,8410198,316,9,525,A,4.5,"Durerstrasse 48, 68163 Mannheim, Baden-Wurttemberg Germany",Asian,Restaurants,$9 - $17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$9 , $17,B
Tokyo Sushi Bar,49.487553,8.470431,788467,522,10,525,A,4.0,"Q 4 12-16, 68161 Mannheim, Baden-Wurttemberg Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,0,0,C
Restaurant Costa Smeralda,49.47858,8.477372,956270,119,11,525,B,4.5,"Schwetzinger Str. 71 Strassenbahnlinie 1 Haltestelle Kopernikusstrasse, 68165 Mannheim, Baden-Wurttemberg Germany",Italian,Restaurants,$33 - $96,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,$33 , $96,B
YEnat Restaurant,49.49107,8.463642,15192700,57,12,525,B,5.0,"G 5 17, 68159 Mannheim, Baden-Wurttemberg Germany",African,Restaurants,$4 - $15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$4 , $15,A
Memoires d'Indochine,49.48726,8.464352,4414868,430,13,525,B,4.0,"10A C2 At Paradeplatz, 68159 Mannheim, Baden-Wurttemberg Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,C
Asia Food ICHI,49.488598,8.469036,2628102,204,14,525,B,4.5,"Q 2 13, 68161 Mannheim, Baden-Wurttemberg Germany",Chinese,Restaurants,$7 - $13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$7 , $13,B
Restaurant OPUS V,49.485695,8.469535,5892096,185,15,525,B,4.5,"O5, 9-12 6. Etage engelhorn Mode im Quadrat, 68161 Mannheim, Baden-Wurttemberg Germany",Vegetarian Friendly,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,0,0,B
Alter Simpl,49.487118,8.470089,5461805,271,16,525,B,4.0,"P 4 8, 68161 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,C
Indian Palace,49.48218,8.471705,4259996,193,17,525,B,4.0,"L 14 10, 68161 Mannheim, Baden-Wurttemberg Germany",Indian,Restaurants,$7 - $28,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$7 , $28,C
Bokeria,49.4269,8.530466,12452434,71,18,525,B,4.5,"Muelheimer Str. 6, 68219 Mannheim, Baden-Wurttemberg Germany",Steakhouse,Restaurants,$7 - $30,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,$7 , $30,B
Senju Restaurant,49.485447,8.466537,13145070,91,19,525,B,4.5,"N3, 1, 68161 Mannheim, Baden-Wurttemberg Germany",Japanese,Restaurants,$7 - $40,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$7 , $40,B
Marly,49.484547,8.454319,777663,200,20,525,B,4.5,"Rheinvorlandstr. 7, 68159 Mannheim, Baden-Wurttemberg Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,Available,0,0,B
Le's Sushi Bar,49.477238,8.483963,14979029,52,21,525,C,5.0,"Seckenheimer Str. 104, 68165 Mannheim, Baden-Wurttemberg Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,0,0,A
Cafe Vienna,49.489883,8.469297,1100304,130,22,525,C,4.5,"S 1 15, 68161 Mannheim, Baden-Wurttemberg Germany",German,Bars & Pubs,$8 - $16,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,$8 , $16,B
Akropolis,49.493816,8.468125,742498,84,23,525,C,4.5,"K 4 11, 68159 Mannheim, Baden-Wurttemberg Germany",Greek,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,0,0,B
Uzun Tasfirini,49.49135,8.46426,3569433,52,24,525,C,5.0,"G 5 12, 68159 Mannheim, Baden-Wurttemberg Germany",Turkish,Restaurants,$4 - $10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$4 , $10,A
Ristorante Olivo,49.435223,8.521803,5527848,94,25,525,C,4.5,"Stengelhofstr. 1, 68219 Mannheim, Baden-Wurttemberg Germany",Italian,Restaurants,$5 - $28,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$5 , $28,B
bootshaus Mannheim,49.486668,8.493333,1812757,265,26,525,C,4.0,"Hans-Reschke-Ufer 3 am Fernmeldeturm, 68165 Mannheim, Baden-Wurttemberg Germany",European,Restaurants,$7 - $66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$7 , $66,C
Keller's Weinrestaurant,49.49133,8.470889,2725721,153,27,525,C,4.0,"U 2 2 Am Herschelbad, 68161 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,$9 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$9 , $30,C
Le Corange,49.485992,8.469823,1021539,151,28,525,C,4.0,"6. Etage engelhorn Mode im Quadrat O5, 9-12, 68161 Mannheim, Baden-Wurttemberg Germany",Seafood,Restaurants,$17 - $49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,Available,$17 , $49,C
Pita Pita Grillstore,49.484028,8.472778,12058799,57,29,525,C,4.5,"N 7 8, 68161 Mannheim, Baden-Wurttemberg Germany",Fast Food,Restaurants,$3 - $8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,$3 , $8,B
L'Osteria Vineria,49.487057,8.475305,2084049,121,30,525,C,4.5,"R 7 25, 68161 Mannheim, Baden-Wurttemberg Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,0,0,B
Badischer Hof Seckenheim,49.468243,8.561328,1954535,67,31,525,D,4.5,"Seckenheimer Hauptstr. 114, 68239 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,$10 - $50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,Available,N/A,$10 , $50,B
SuMi Bar & Restaurant,49.49227,8.46192,19605950,30,32,525,D,5.0,"G 7 15, 68159 Mannheim, Baden-Wurttemberg Germany",Japanese,Restaurants,$4 - $30,Available,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,$4 , $30,A
Surin Kuche,49.48952,8.465642,8643735,64,33,525,D,4.5,"F 2 10, 68159 Mannheim, Baden-Wurttemberg Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Friedrichsfelder Hof,49.44429,8.57715,3329479,71,34,525,D,4.5,"Main-Neckar-Bahn-Str. 35, 68229 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,Available,N/A,0,0,B
Ristorante Milano,49.486485,8.475712,3462367,157,35,525,D,4.0,"R 7 30, 68161 Mannheim, Baden-Wurttemberg Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,0,0,C
Speicher 7 Bar,49.48493,8.454033,4698199,141,36,525,D,4.0,"Rheinvorlandstr. 7, 68159 Mannheim, Baden-Wurttemberg Germany",Bar,Restaurants,,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,C
Schwarzer Adler,49.488766,8.460931,3327676,51,37,525,D,4.5,"D 6 18, 68159 Mannheim, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,B
