name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Chopan Schwabing,48.16159,11.589326,8465523,546,1,3236,A,5.0,"Occamstr. 3, 80802 Munich, Bavaria Germany",Middle Eastern,Restaurants,$15 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$15 , $20,A
Risotto Restaurant Munich,48.154007,11.507164,10463037,849,2,3236,A,5.0,"Hirschgartenallee 38 Nymphenburg Castle , Romanplatz, 80639 Munich, Bavaria Germany",Italian,Restaurants,$25 - $100,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,$25 , $100,A
La Boheme,48.17292,11.586714,10100111,1292,3,3236,A,4.5,"Leopoldstr. 180 Schwabing, 80804 Munich, Bavaria Germany",Steakhouse,Restaurants,$30 - $60,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,$30 , $60,B
Restaurant Pils Corner,48.18203,11.510222,5793531,262,4,3236,A,5.0,"Dachauer Str. 288, 80992 Munich, Bavaria Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,0,0,A
Naxos Taverna,48.16398,11.479082,2660543,1011,5,3236,A,4.5,"Verdistr. 33, 81247 Munich, Bavaria Germany",Seafood,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,Available,Available,Available,0,0,B
La Tavernetta,48.137398,11.583371,12825947,232,6,3236,A,5.0,"Hildegardstrasse 9, 80539 Munich, Bavaria Germany",Italian,Restaurants,$7 - $23,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,$7 , $23,A
Little London Bar & Grill,48.135593,11.580863,8088331,1149,7,3236,A,4.5,"Tal 31, 80331 Munich, Bavaria Germany",Steakhouse,Restaurants,$8 - $64,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,$8 , $64,B
DinnerHopping,48.136395,11.578016,4085091,254,8,3236,A,5.0,"Tal 1, 80331 Munich, Bavaria Germany",Italian,Restaurants,$79 - $129,N/A,Available,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,$79 , $129,A
Nur Einmal Leben,48.183304,11.563081,6432414,216,9,3236,A,5.0,"Riesenfeldstr. 72, 80809 Munich, Bavaria Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,A
Trattoria Da Fausto,48.168663,11.592562,1344547,1230,10,3236,A,4.5,"Helmtrudenstrasse 1 Ecke Ungererstr., 80805 Munich, Bavaria Germany",Italian,Restaurants,$8 - $25,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,Available,Available,Available,$8 , $25,B
