name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Phantastic - Asian Cuisine,49.45891,11.032068,9991753,477,1,1022,A,5.0,"Fuerther Str. 234 Ecke Raabstraße, Nähe Commerzbank, 90429 Nuremberg, Bavaria Germany",Asian,Restaurants,$3 - $13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $13,A
Namaste Indisches Restaurant,49.457302,11.083732,16664378,250,2,1022,A,5.0,"Hirschelgasse 1 90403 Nurnberg, 90403 Nuremberg, Bavaria Germany",Indian,Restaurants,$5 - $17,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$5 , $17,A
Restaurant Albrecht-Durer-Stube,49.456173,11.074354,1785466,952,3,1022,A,4.5,"Albrecht-Duerer-Str. 6 Corner Agnesgasse, 90403 Nuremberg, Bavaria Germany",German,Restaurants,$6 - $20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,Available,N/A,$6 , $20,B
C'era Una Volta,49.449497,11.080547,2589225,771,4,1022,A,4.5,"Johannesgasse 51, 90402 Nuremberg, Bavaria Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,0,0,B
Cafe Bar Wanderer,49.45747,11.074427,1342181,222,5,1022,A,4.5,"Beim Tiergaertnertor 2, 90403 Nuremberg, Bavaria Germany",Cafe,Restaurants,$1 - $8,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$1 , $8,B
Crazy Nate's Worhder Weise,49.45513,11.098223,9739261,198,6,1022,A,4.5,"Untere Zwingerstr. 9 corner of Bauvereinstrasse and Untere Zwingerstrasse, 90489 Nuremberg, Bavaria Germany",Mexican,Quick Bites,$2 - $15,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$2 , $15,B
Boogie's BBQ,49.423885,11.068574,5483381,263,7,1022,A,4.5,"Nimrodstr. 10, 90441 Nuremberg, Bavaria Germany",American,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Gregor Samsa,49.463257,11.08879,1344408,200,8,1022,A,4.5,"Maxfeldstr. 79 Mörlgasse, 90409 Nuremberg, Bavaria Germany",European,Restaurants,$1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,$1,0,B
Delphi,49.455868,11.082628,1139406,577,9,1022,A,4.5,"Innere Laufer Gasse 22, 90403 Nuremberg, Bavaria Germany",Greek,Restaurants,$10 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$10 , $25,B
Padelle d'Italia,49.44985,11.080353,1220514,1018,10,1022,A,4.5,"Theatergasse 17, 90402 Nuremberg, Bavaria Germany",Italian,Restaurants,$7 - $25,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,$7 , $25,B
CoDung,49.447693,11.071921,2181477,663,11,1022,B,4.5,"Faerberstr. 43, 90402 Nuremberg, Bavaria Germany",Japanese,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Taberu Restaurant,49.445988,11.008628,21283306,78,12,1022,B,5.0,"Sigmundstrasse 155, 90431 Nuremberg, Bavaria Germany",Asian,Restaurants,,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,0,0,A
"Hoserer Rolly""s American Diner",49.379887,11.038769,6384860,271,13,1022,B,4.5,"Vorjurastr. 22 Reichelsdorf, 90453 Nuremberg, Bavaria Germany",American,Restaurants,$8 - $15,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$8 , $15,B
Restaurant Opatija,49.452736,11.072313,2734278,376,14,1022,B,4.5,"Unschlittplatz 7, 90403 Nuremberg, Bavaria Germany",Seafood,Restaurants,$18 - $46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,Available,Available,$18 , $46,B
FIVE Diner,49.4546,11.07843,8487409,681,15,1022,B,4.5,"Obstmarkt 5, 90403 Nuremberg, Bavaria Germany",American,Restaurants,$3 - $12,Available,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$3 , $12,B
La Locanda,49.447315,11.054911,2084849,240,16,1022,B,4.5,"Austr. 15, 90429 Nuremberg, Bavaria Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,0,0,B
Osteria del Centro,49.445435,11.078294,2179528,386,17,1022,B,4.5,"Eilgutstrasse 10, 90443 Nuremberg, Bavaria Germany",Italian,Restaurants,$4 - $18,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$4 , $18,B
