name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
5,48.779945,9.178062,2142723,1022,1,1210,A,5.0,"Bolzstrasse 8, 70173 Stuttgart, Baden-Wurttemberg Germany",European,Restaurants,$8 - $176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,Available,Available,N/A,$8 , $176,A
Hupperts,48.76139,9.151617,9561832,152,2,1210,A,5.0,"Gebelsbergstr. 97, 70199 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,$29 - $79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,Available,N/A,$29 , $79,A
Zum Ackerbuerger,48.805843,9.216067,796374,440,3,1210,A,4.5,"Spreuergasse 38, 70372 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,Available,Available,N/A,0,0,B
Brenner,48.774017,9.182452,5827403,360,4,1210,A,4.5,"Brennerstr. 5, 70182 Stuttgart, Baden-Wurttemberg Germany",European,Restaurants,$25 - $60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$25 , $60,B
Sushi ONE,48.773106,9.172333,12845805,244,5,1210,A,4.5,"Marienstrasse 28 Eingang Sophienstr. / 1. OG, 70178 Stuttgart, Baden-Wurttemberg Germany",Japanese,Restaurants,$4 - $28,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,Available,$4 , $28,B
Weinstube Am Stadtgraben,48.804977,9.216137,1344113,617,6,1210,A,4.5,"Am Stadtgraben 6, 70372 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,$15 - $26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$15 , $26,B
Restaurant Christophorus,48.83458,9.152094,1906700,437,7,1210,A,4.5,"Porscheplatz 5, 70435 Stuttgart, Baden-Wurttemberg Germany",Steakhouse,Restaurants,,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,0,0,B
Jose y Josefina,48.77087,9.155802,12828882,597,8,1210,A,4.5,"Gutenbergstr. 87, 70197 Stuttgart, Baden-Wurttemberg Germany",Seafood,Restaurants,$6 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,$6 , $30,B
Der Rote Hirsch,48.804745,9.214343,8827550,463,9,1210,A,4.5,"Marktstr. 46, 70372 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,$8 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$8 , $30,B
CUBE Restaurant,48.77838,9.177544,1087012,955,10,1210,A,4.0,"Kleiner Schlossplatz 1, 70173 Stuttgart, Baden-Wurttemberg Germany",European,Restaurants,$13 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,$13 , $35,C
Triple B - Beef Burger Brothers,48.83013,9.1756,5853207,403,11,1210,B,4.5,"Hohenloher Str. 8, 70435 Stuttgart, Baden-Wurttemberg Germany",American,Restaurants,,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,B
Ambiente Africa,48.777615,9.188049,777486,288,12,1210,B,4.5,"Werastr. 1, 70182 Stuttgart, Baden-Wurttemberg Germany",Deli,Restaurants,$8 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$8 , $35,B
Ritzi,48.78413,9.17804,15158005,106,13,1210,B,4.5,"Friedrichstr. 6, 70174 Stuttgart, Baden-Wurttemberg Germany",International,Restaurants,$1 - $30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,Available,N/A,Available,N/A,$1 , $30,B
Speisemeisterei,48.712578,9.213474,966440,339,14,1210,B,4.5,"Schloss Hohenheim 1b, 70599 Stuttgart, Baden-Wurttemberg Germany",European,Restaurants,$100 - $195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,Available,N/A,$100 , $195,B
Valle Ristorante,48.782494,9.175974,1342687,730,15,1210,B,4.5,"Geschwister-Scholl-Str. 3, 70174 Stuttgart, Baden-Wurttemberg Germany",Italian,Restaurants,$1,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,$1,0,B
Pier 51 Restaurant & Bar,48.748367,9.16704,1027392,444,16,1210,B,4.0,"Loffelstrasse 22, 70597 Stuttgart, Baden-Wurttemberg Germany",International,Restaurants,$12 - $44,Available,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$12 , $44,C
Weinstube Zur Kiste,48.775295,9.182919,1899643,185,17,1210,B,4.5,"Kanalstr. 2, 70182 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,0,0,B
Japanese Restaurant Kicho,48.771545,9.182182,964019,228,18,1210,B,4.5,"Jakobstr. 19, 70182 Stuttgart, Baden-Wurttemberg Germany",Japanese,Restaurants,$25 - $51,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,Available,Available,Available,$25 , $51,B
Rotenberger Weingaertle,48.78312,9.27111,1342000,77,19,1210,B,4.5,"Wuerttembergstr. 317, 70327 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,$7 - $25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,Available,Available,N/A,$7 , $25,B
Onkel Otto,48.76413,9.166044,5506858,206,20,1210,B,4.5,"Boeblinger Str. 14, 70178 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,0,0,B
Kwan Kao,48.769432,9.154313,7179370,204,21,1210,C,4.5,"Rotebuehlstr. 155, 70197 Stuttgart, Baden-Wurttemberg Germany",Asian,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,0,0,B
Da Salvo,48.756294,9.221244,1342689,128,22,1210,C,4.5,"Tiefenbachstr. 66 B, 70329 Stuttgart, Baden-Wurttemberg Germany",Seafood,Restaurants,$5 - $35,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,Available,$5 , $35,B
La Bamboo,48.778194,9.15576,9789383,122,23,1210,C,4.5,"Schwabstr. 129, 70193 Stuttgart, Baden-Wurttemberg Germany",Indian,Restaurants,$5,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$5,0,B
Weinstube Kachelofen,48.773567,9.177488,982763,243,24,1210,C,4.0,"Eberhardstr. 10, 70173 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,0,0,C
HIAMI Sushi Bar,48.730347,9.110181,13394567,70,25,1210,C,5.0,"Hauptstrasse, 16 Eingang am Vaihinger Marktplatz, 70563 Stuttgart, Baden-Wurttemberg Germany",Japanese,Restaurants,$3 - $15,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,$3 , $15,A
Speisekammer West,48.777794,9.154025,3731288,156,26,1210,C,4.5,"Rosenbergstr. 89, 70193 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,Available,N/A,0,0,B
Goldener Adler,48.762245,9.164244,982680,202,27,1210,C,4.5,"Boeheimstr. 38, 70178 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,$1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$1,0,B
Pizza trullo's,48.833424,9.222182,17691791,55,28,1210,C,5.0,"Kapellenweg 20 stuttgart-hofen Kreuzung, 70378 Stuttgart, Baden-Wurttemberg Germany",Pizza,Restaurants,$9 - $50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,Available,N/A,Available,N/A,N/A,$9 , $50,A
Restaurant Trollinger im Movenpick Hotel Stuttgart Airport,48.691418,9.193611,956659,301,29,1210,C,4.5,"Flughafenstr. 50, 70629 Stuttgart, Baden-Wurttemberg Germany",German,Restaurants,$18 - $44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,Available,N/A,$18 , $44,B
Gasthaus Zum Becher,48.779346,9.187286,1341584,117,30,1210,C,4.5,"Urbanstr. 33, 70182 Stuttgart, Baden-Wurttemberg Germany",Diner,Restaurants,$6 - $19,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,N/A,N/A,N/A,$6 , $19,B
Burger.Place,48.82911,9.164869,8373705,194,31,1210,D,4.5,"Schwieberdinger Str. 37 Zuffenhausen, 70469 Stuttgart, Baden-Wurttemberg Germany",American,Restaurants,$4 - $25,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,$4 , $25,B
[m]eatery bar + restaurant,48.7757,9.174398,4182478,687,32,1210,D,4.0,"Kronprinzstr. 24, 70173 Stuttgart, Baden-Wurttemberg Germany",Steakhouse,Restaurants,$15 - $111,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,$15 , $111,C
Schweizers,48.765594,9.177017,12336492,72,33,1210,D,5.0,"Olgastrasse 133b, 70180 Stuttgart, Baden-Wurttemberg Germany",European,Restaurants,$25 - $35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,Available,N/A,$25 , $35,A
Dionyssos Im Hirsch,48.726658,9.145046,2694143,171,34,1210,D,4.5,"Maierstr. 3, 70567 Stuttgart, Baden-Wurttemberg Germany",Seafood,Restaurants,$14 - $40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,$14 , $40,B
