name,latitude,longitude,location_id,num_reviews,ranking_position,ranking_denominator,ranking_category,rating,address,cuisine,establishment_types,price,Bar,Italian,Japanese,American,Steakhouse,Cafe,Indian,Asian,Healthy,German,Central European,Mediterranean,European,Vegan Options,Gluten Free Options,Seafood,min price,max price,rating_category
Alaturka,51.25656,7.1377,1040833,292,1,319,A,4.5,"Luisenstr. 63, 42103 Wuppertal, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,0,0,B
Amalfi Il Ristorante,51.256657,7.139953,7381559,259,2,319,A,4.5,"Kolpingstr. 17, 42103 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,$8 - $20,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,$8 , $20,B
Restaurant Shiraz,51.302776,7.251944,12338130,77,3,319,A,5.0,"Wittener Str. 288 N, 42279 Wuppertal, North Rhine-Westphalia Germany",European,Restaurants,$118 - $160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,N/A,$118 , $160,A
HANS IM GLUECK Burgergrill & Bar,51.257164,7.142783,4102892,268,4,319,A,4.0,"Herzogstr. 40, 42103 Wuppertal, North Rhine-Westphalia Germany",American,Restaurants,$7 - $25,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$7 , $25,C
NOI,51.257847,7.143431,2719907,286,5,319,A,4.0,"Neumarkt 33, 42103 Wuppertal, North Rhine-Westphalia Germany",Japanese,Restaurants,$9 - $20,N/A,N/A,Available,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$9 , $20,C
Mangi Mangi,51.25972,7.147022,7891257,62,6,319,A,5.0,"Rommelspuett 9a, 42105 Wuppertal, North Rhine-Westphalia Germany",International,Restaurants,$3 - $10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,$3 , $10,A
D' Aquila Restaurant,51.261826,7.174559,12922860,57,7,319,A,4.5,"Besenbruchstr. 5, 42285 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,$6 - $85,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,N/A,$6 , $85,B
Atelier,51.257423,7.152461,6540871,121,8,319,A,4.5,"Hofaue 51, 42103 Wuppertal, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,Available,N/A,0,0,B
taormina Ristorante Italiano dal 1979,51.2523,7.140388,965825,130,9,319,A,4.5,"Suedstr. 26, 42103 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,$7 - $30,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,$7 , $30,B
Restaurant Piraus in Wuppertal,51.272392,7.206267,5852261,73,10,319,A,4.5,"Hoehne 99, 42275 Wuppertal, North Rhine-Westphalia Germany",Mediterranean,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,N/A,0,0,B
Essen'z Restaurant am Jagerhaus,51.238686,7.235501,6449744,64,11,319,B,4.5,"Jaegerhaus 87, 42287 Wuppertal, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,Available,Available,N/A,N/A,0,0,B
El Jamon,51.25432,7.13496,1342322,51,12,319,B,4.5,"Friedrich-Ebert-Str. 80, 42103 Wuppertal, North Rhine-Westphalia Germany",Spanish,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,0,0,B
San Leo,51.256145,7.137353,1906694,81,13,319,B,4.5,"Obergruenewalder Str. 7, 42103 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,0,0,B
Al Howara,51.25639,7.153567,1040832,94,14,319,B,4.0,"Bembergstrasse 20, 42103 Wuppertal, North Rhine-Westphalia Germany",Lebanese,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,N/A,N/A,0,0,C
Wagner am Maeuerchen,51.25648,7.145513,2445636,148,15,319,B,4.0,"Maeuerchen 4, 42103 Wuppertal, North Rhine-Westphalia Germany",German,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,N/A,N/A,N/A,N/A,N/A,0,0,C
Brasserie,51.267815,7.192534,2623197,82,16,319,B,4.5,"Kurt-Drees-Str. 4, 42283 Wuppertal, North Rhine-Westphalia Germany",European,Restaurants,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,N/A,Available,Available,N/A,N/A,0,0,B
Scarpati,51.239063,7.08506,2623196,117,17,319,B,4.5,"Scheffelstrasse 41, 42327 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,,N/A,Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Available,Available,Available,N/A,Available,N/A,0,0,B
Ristorante Pizzeria Haus Mallack,51.288025,7.200896,1040819,31,18,319,B,4.5,"Mallack 30d, 42281 Wuppertal, North Rhine-Westphalia Germany",Italian,Restaurants,$6 - $23,N/A,Available,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,N/A,Available,N/A,N/A,N/A,N/A,$6 , $23,B
