name,latitude,longitude,Cluster
Fancy Donuts Kudamm,52.504303,13.332094,3
Clubrestaurant am Wannsee,52.428818,13.182421,0
Burger Turm,52.5272,13.33252,3
Ataya Caffe,52.547062,13.427194,1
100 Gramm Bar,52.530407,13.401753,3
Cafe Couscous - Vege,52.526882,13.387203,1
Happies,52.541405,13.419829,1
Restaurant Buschbeck's,52.505695,13.29205,0
CEDRE BLANC,52.517487,13.293852,1
Vedang - plant burger (Alexa),52.51841,13.416042,1
Ristorante A MANO,52.519196,13.427626,4
Hackethals,52.536575,13.379715,3
La Gondola Due,52.437595,13.233188,4
Vedang - plant burger (Mall of Berlin),52.51046,13.380166,1
Sapori di Casa,52.527397,13.351583,4
Rueyam Gemuese Kebab,52.484715,13.353967,3
Salamat,52.528732,13.393839,1
Naveenapath,52.541798,13.357328,2
Hasty Pastry,52.503185,13.344049,4
El Loco,52.44736,13.577188,3
Vedis,52.541718,13.411981,1
Restaurant Bieberbau,52.479603,13.333711,1
Trattoria Portofino,52.51222,13.448152,4
Flamingo Fresh Food Bar,52.51966,13.385432,1
Skykitchen,52.528538,13.457471,1
Eispatisserie Hokey Pokey,52.5468,13.4176,3
Pequena Habana,52.48776,13.349478,1
MontRaw Restaurant,52.52847,13.392598,4
Haveli,52.49607,13.337536,2
La Caleta,52.500237,13.314942,4
Wonder Waffel Berlin,52.50173,13.41943,1
Kurpfalz-Weinstuben,52.500973,13.308108,1
Indisches Restaurant Maharadscha,52.498943,13.345256,1
Goji,52.495197,13.34007,2
Namaste,52.49635,13.327783,2
Maison Umami,52.500374,13.442877,2
Ristorante Peperoncino,52.491722,13.413723,3
Gasthaus Kater Alex,52.511753,13.301451,1
Fes - Turkish BBQ,52.489147,13.408511,3
Ristorante & Vinobar CaliBocca,52.50388,13.317218,1
EBERT Restaurant & Bar,52.496727,13.305367,1
Lorenz Adlon Esszimmer,52.51612,13.37984,1
Restaurant Facil,52.50873,13.3738,0
Focaccino,52.505207,13.301021,1
La Cantine d'Augusta,52.48921,13.362257,3
Upper Burger Grill,52.503307,13.334502,3
Heising,52.503323,13.334751,3
Zur Haxe,52.5448,13.436829,0
Quy Nguyen Vegan Living,52.523636,13.400517,2
El Colmado (Alexanderplatz),52.519245,13.40969,1
Emilio Restaurant,51.513435,7.486268,1
Nhy Star,51.515827,7.464022,1
Pfefferkorn,51.513527,7.455622,0
Der Schneider,51.512676,7.532877,3
JIA - the taste of home,51.48206,7.501482,1
Lemongrass,51.513973,7.473244,1
Food Brother,51.516167,7.465795,3
Brauhaus Wenkers,51.51347,7.466691,0
Hovels Hausbrauerei,51.512592,7.4586,0
Gruener Salon,51.526127,7.466094,1
Zum alten Markt,51.51387,7.466398,0
Pottsalat,51.5001,7.481398,3
Miss Mai,51.506134,7.4508,1
Big Boost Burger,51.519928,7.4881,3
Wurst Willi,51.51442,7.460501,3
Namu,51.512688,7.470003,2
Mr. Pizza,51.50699,7.324098,4
Cafe Lotte,51.505123,7.465506,0
Pfefferkorn NY Steakhouse,51.491646,7.505619,4
No More Rice,51.50622,7.473726,2
OmaRosa,51.508602,7.462883,1
Overkamp,51.44974,7.505896,0
Vida,51.461548,7.456556,0
L'Osteria Dortmund,51.50326,7.47471,4
das-HOESCH.Restaurant,51.487503,7.488497,0
Olafs,51.513474,7.452447,3
Yumini,51.516533,7.467924,2
La Romantica,51.50856,7.488734,4
Mit Schmackes,51.50442,7.458745,0
Taberna Andaluza,51.52321,7.47279,3
Tapas & More,51.515614,7.464441,3
Restaurant Kara's,51.50885,7.453012,3
Emil - Grill & Meer,51.514725,7.452736,0
Tam Nag Thai,51.508415,7.460622,3
Kyoto Inh. Hyun-Sa On,51.513653,7.46874,3
Uni Falafel,51.48135,7.41013,3
KimBaBBox,51.50488,7.45912,3
Froilein Meier,51.50429,7.44931,3
Latino Sol,51.52158,7.45312,1
Trattoria Buon Gusto,51.476074,7.438842,3
Ciccio's,51.500023,7.451697,4
Pfefferkorn's No.1 Am Markt,51.513733,7.466666,0
Das Kuchlein,51.505306,7.447913,1
Restaurant Pferdestall,51.518337,7.334521,0
Restaurant Jaegerheim,51.461918,7.500966,0
Sweet Chilli,51.512924,7.447808,2
Chuzo,51.507523,7.451278,4
Kartoffel-Lord,51.516094,7.466015,3
Grill 69,51.503887,7.466389,3
Kieztortchen,51.503616,7.453286,1
The Duchy - Restaurant and Raw Bar,51.225376,6.777244,0
Restaurant Setzkasten,51.219044,6.783308,0
Spaghetti & Stars,51.230858,6.756269,4
Rubens,51.23446,6.778216,0
Ristorante La Luce Due,51.23068,6.809574,4
